pred_feature,正面,负面,总计,负面比例
"底盘,空间",2,0,2,0.0
"天窗,后排,视野",1,0,1,0.0
"天窗,配置,摄像头",1,0,1,0.0
"安全,后备箱,配置",1,0,1,0.0
"空间,车身",1,0,1,0.0
"空间,轴距,后排",1,0,1,0.0
"空间,配置,中控",1,0,1,0.0
"空间,配置,安全",1,0,1,0.0
"空间,隔音",1,0,1,0.0
"空间,隔音,配置",1,0,1,0.0
"空间,颜值",1,0,1,0.0
舒适度,2,0,2,0.0
"舒适度,空间,配置",1,0,1,0.0
"视野,底盘,动力,空间",1,0,1,0.0
记录仪,1,0,1,0.0
质量,1,0,1,0.0
"车窗,扶手箱,内饰",1,0,1,0.0
"声音,隔音",1,0,1,0.0
"外观,价格",1,0,1,0.0
"外观,内饰,操控,空间",1,0,1,0.0
"外观,内饰,配置",1,0,1,0.0
"外观,动力",1,0,1,0.0
"外观,动力,发动机",1,0,1,0.0
"外观,后排,大灯,内饰",1,0,1,0.0
"外观,声音",1,0,1,0.0
"外观,尾灯",1,0,1,0.0
"外观,尾部,前排",1,0,1,0.0
"外观,性价比,发动机",1,0,1,0.0
"外观,性价比,油耗",1,0,1,0.0
"外观,性价比,配置",1,0,1,0.0
"外观,操控,油耗,性价比",1,0,1,0.0
"外观,油耗",1,0,1,0.0
"外观,油耗,排量",1,0,1,0.0
"外观,空间",1,0,1,0.0
"外观,空间,油耗",2,0,2,0.0
"外观,车尾",1,0,1,0.0
"外观,车身,车尾",1,0,1,0.0
"外观,配置,价格",1,0,1,0.0
"外观,配置,安全",1,0,1,0.0
"外观,颜值",1,0,1,0.0
"后备箱,底盘,操控,座椅",1,0,1,0.0
"后排,座椅,空间",1,0,1,0.0
变线,1,0,1,0.0
"变速箱,功能,操控",1,0,1,0.0
"后备箱,4S店",1,0,1,0.0
"后备箱,后排,座椅",1,0,1,0.0
"动力,操控,悬挂",1,0,1,0.0
"动力,空间,油耗,味道",1,0,1,0.0
"动力,隔音",1,0,1,0.0
"动力,马力",2,0,2,0.0
"发动机,变速箱",2,0,2,0.0
"发动机,变速箱,换挡,油耗",1,0,1,0.0
"发动机,油耗",5,0,5,0.0
"发动机,油耗,性价比",1,0,1,0.0
"发动机,油耗,性能",1,0,1,0.0
"车身,发动机",1,0,1,0.0
"车身,外观",1,0,1,0.0
"车身,配置,性价比",1,0,1,0.0
